id,season,year,name,full_name,url,status,category,prize,country,city
753,1982-1983,1982,UK Championship,1982 UK Championship,https://cuetracker.net/tournaments/uk-championship/1982/753,Professional,Non-ranking,47000.0,England,Preston
1140,1982-1983,1982,World Amateur Championship - Men,1982 World Amateur Championship - Men,https://cuetracker.net/tournaments/world-amateur-championship-men/1982/1140,Amateur,World Event,0.0,Canada,Calgary
762,1982-1983,1982,Professional Players Tournament,1982 Professional Players Tournament,https://cuetracker.net/tournaments/professional-players-tournament/1982/762,Professional,Ranking,31500.0,England,Birmingham
2586,1982-1983,1982,Pontins Autumn Open,1982 Pontins Autumn Open,https://cuetracker.net/tournaments/pontins-autumn-open/1982/2586,Pro-am,Event,0.0,Wales,Prestatyn
754,1982-1983,1982,International Open,1982 International Open,https://cuetracker.net/tournaments/international-open/1982/754,Professional,Ranking,73500.0,England,Derby
759,1982-1983,1982,Scottish Masters,1982 Scottish Masters,https://cuetracker.net/tournaments/scottish-masters/1982/759,Professional,Invitational,23000.0,Scotland,Glasgow
2444,1982-1983,1982,Australian Amateur Championship,1982 Australian Amateur Championship,https://cuetracker.net/tournaments/australian-amateur-championship/1982/2444,Amateur,National Championship,0.0,Australia,
2443,1982-1983,1982,Scottish Open Championship,1982 Scottish Open Championship,https://cuetracker.net/tournaments/scottish-open-championship/1982/2443,Pro-am,National Championship,0.0,Scotland,
2421,1982-1983,1982,Thailand Amateur Championship,1982 Thailand Amateur Championship,https://cuetracker.net/tournaments/thailand-amateur-championship/1982/2421,Amateur,National Championship,0.0,Thailand,Bangkok
2549,1981-1982,1982,All-Ireland Amateur Championship,1982 All-Ireland Amateur Championship,https://cuetracker.net/tournaments/all-ireland-amateur-championship/1982/2549,Amateur,National Championship,0.0,Ireland,
795,1982-1983,1982,Australian Masters,1982 Australian Masters,https://cuetracker.net/tournaments/australian-masters/1982/795,Professional,Invitational,18568.0,Australia,Sydney
783,1981-1982,1982,Bass and Golden Leisure Classic,1982 Bass and Golden Leisure Classic,https://cuetracker.net/tournaments/bass-and-golden-leisure-classic/1982/783,Professional,Invitational,1380.0,England,Liverpool
2558,1981-1982,1982,Pontins Spring Open,1982 Pontins Spring Open,https://cuetracker.net/tournaments/pontins-spring-open/1982/2558,Pro-am,Event,0.0,Wales,Prestatyn
788,1981-1982,1982,Pontins Professional,1982 Pontins Professional,https://cuetracker.net/tournaments/pontins-professional/1982/788,Professional,Non-ranking,10500.0,Wales,Prestatyn
772,1981-1982,1982,World Championship,1982 World Championship,https://cuetracker.net/tournaments/world-championship/1982/772,Professional,Ranking,110000.0,England,Sheffield
782,1981-1982,1982,Highland Masters,1982 Highland Masters,https://cuetracker.net/tournaments/highland-masters/1982/782,Professional,Invitational,10000.0,Scotland,Inverness
2113,1981-1982,1982,Irish Amateur Championship,1982 Irish Amateur Championship,https://cuetracker.net/tournaments/irish-amateur-championship/1982/2113,Amateur,National Championship,0.0,Ireland,DunLaoghaire
